
Mali,347795,-1,-1,-1,-1,425375,411917,363614,373275,537972,

East Asia & Pacific (excluding high income),-1,-1,-1,2920737,2709071,6701393,4221944,3854811,3147066,2684609,

Bhutan,-1,21484,-1,-1,-1,23392,21739,12619,5911,4998,

Honduras,-1,77159,53600,52211,61415,-1,66613,88823,105077,-1,

Cote d'Ivoire,-1,201143,-1,-1,-1,439774,455626,641850,463477,144836,

Ethiopia,-1,-1,-1,2332690,3485383,3207142,2804445,1864608,1396233,911879,

Low income,8423988,8611983,8976108,10321703,12449713,12573632,12043638,9450921,8648198,9426960,

Jamaica,-1,12959,8603,7298,7854,15027,14068,16327,-1,-1,

Philippines,-1,-1,306877,211246,27856,522242,649585,733998,225734,215827,

Sub-Saharan Africa (IDA & IBRD countries),-1,14322554,13622151,16799024,19586295,20470530,18284236,14461258,14345749,15701574,

Arab World,3612092,3520243,3575681,3599304,3953615,3972167,3464495,3159056,3118811,3431513,

Benin,-1,-1,110971,128957,156733,127856,-1,29455,-1,32693,

Burundi,222232,242299,222173,184929,232493,-1,284494,125807,37007,68865,

Suriname,-1,1381,-1,-1,-1,-1,-1,4881,4400,4421,

Syrian Arab Republic,29901,12144,43574,22291,14545,5412,-1,-1,259499,-1,

Trinidad and Tobago,8047,6047,8369,8066,11630,8072,1989,1220,556,-1,

Sub-Saharan Africa (excluding high income),-1,14321783,13621245,16798249,19585664,20470262,18284114,14461217,14345738,15701499,

Congo Rep.,9146,3387,18748,-1,-1,-1,-1,132752,44846,62954,

United Arab Emirates,-1,7291,14122,13138,6734,21289,-1,8679,14887,-1,

Kuwait,14238,9929,9716,8710,39726,3263,8851,9424,-1,6144,

Senegal,-1,268633,271557,266721,320781,316164,295336,298395,300848,366486,

British Virgin Islands,-1,-1,116,-1,-1,35,195,107,64,-1,

Madagascar,161304,-1,-1,267580,288753,409743,341801,-1,-1,-1,

Bahrain,2118,2122,3349,1040,1060,573,3449,5052,3363,774,

Cameroon,165858,167581,178651,190039,231306,-1,-1,-1,86808,49396,

Small states,325572,310141,307496,313241,387420,394758,335410,307779,271887,266283,

Nepal,-1,-1,187834,144291,-1,405154,277001,-1,-1,-1,

Guinea,-1,-1,263827,288544,329223,320989,276068,229350,172247,142323,

Gambia,25704,25069,15826,13534,32606,32605,40829,46253,50120,41149,

IDA total,18712628,18568188,18392248,22190925,25697322,27234888,24488136,19867962,19693509,20196865,

Colombia,-1,-1,-1,630649,669261,95617,118560,10554,64262,63152,

Chad,-1,206235,-1,251994,-1,275790,269183,-1,224722,224332,

Greece,32263,28741,32911,37291,47809,30425,6708,11083,5991,4803,

Upper middle income,-1,-1,-1,4889122,3900376,7260796,3302414,2950698,3168996,3183830,

Guinea-Bissau,-1,-1,20096,30392,-1,-1,41500,-1,29854,-1,

Djibouti,-1,-1,-1,28046,34249,38491,38364,30288,20080,19515,

Lesotho,55990,61116,67489,67707,74704,84134,42744,25561,17275,8781,

Burkina Faso,385676,431672,449475,464708,522198,535252,568263,470149,466346,378211,

Late-demographic dividend,-1,-1,-1,3815848,3404770,6513956,3320869,2923649,2500025,2268127,

Australia,38490,18039,15922,20633,24571,53797,47268,-1,25429,5407,

East Asia & Pacific (IDA & IBRD countries),-1,-1,-1,2905433,2691269,6683218,4202929,3836177,3100123,2586731,
